STRUCTURE_NAME,REF_AREA,Reference area,Frequency of observation,Measure,UNIT_MEASURE,Unit of measure,Age,SEX,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Potential years of life lost,HUN,Hungary,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,4601.2
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,193.9
Potential years of life lost,ARG,Argentina,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2016,9839.1
Potential years of life lost,ARG,Argentina,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2017,9315
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2022,168.7
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2015,160
Potential years of life lost,ARG,Argentina,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2020,9393.1
Potential years of life lost,ARG,Argentina,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2021,11465.5
Potential years of life lost,ARG,Argentina,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2015,9679.6
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2019,276.2
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2020,325.2
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2021,424.8
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2022,316.5
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,278.2
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2018,245.2
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2016,119.6
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,130.9
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,127.6
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,124.6
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,103.9
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2021,109.6
Potential years of life lost,CHL,Chile,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,130
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,6176.7
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,6088.9
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,112.5
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,115.6
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,111.9
